code,date
000000,2024/01/01
098120,2024/01/18
009520,2024/01/18
095570,2024/01/18
006840,2024/01/18
282330,2024/01/18
027410,2024/01/18
138930,2024/01/18
001465,2024/01/18
001460,2024/01/18
001045,2024/01/18
00104K,2024/01/18
001040,2024/01/18
011155,2024/01/18
011150,2024/01/18
058820,2024/01/18
000590,2024/01/18
012030,2024/01/18
016610,2024/01/18
005830,2024/01/18
000990,2024/01/18
139130,2024/01/18
001530,2024/01/18
000215,2024/01/18
001880,2024/01/18
000210,2024/01/18
37550K,2024/01/18
37550L,2024/01/18
375500,2024/01/18
155660,2024/01/18
069730,2024/01/18
017860,2024/01/18
017940,2024/01/18
365550,2024/01/18
050120,2024/01/18
383220,2024/01/18
007700,2024/01/18
078935,2024/01/18
006360,2024/01/18
078930,2024/01/18
012630,2024/01/18
294870,2024/01/18
097230,2024/01/18
014790,2024/01/18
024850,2024/01/18
204320,2024/01/18
060980,2024/01/18
035000,2024/01/18
003560,2024/01/18
175330,2024/01/18
234080,2024/01/18
001065,2024/01/18
001067,2024/01/18
001060,2024/01/18
096760,2024/01/18
105560,2024/01/18
432320,2024/01/18
024120,2024/01/18
009070,2024/01/18
044180,2024/01/18
003620,2024/01/18
016380,2024/01/18
001390,2024/01/18
033180,2024/01/18
001940,2024/01/18
005930,2024/01/18
000660,2024/01/18
373220,2024/01/18
207940,2024/01/18
005935,2024/01/18
005380,2024/01/18
068270,2024/01/18
005490,2024/01/18
035420,2024/01/18
000270,2024/01/18
051910,2024/01/18
247540,2024/01/18
006400,2024/01/18
035720,2024/01/18
003670,2024/01/18
028260,2024/01/18
012330,2024/01/18
055550,2024/01/18
086520,2024/01/18
066570,2024/01/18
450080,2024/01/18
323410,2024/01/18
011200,2024/01/18
018260,2024/01/18
138040,2024/01/18
032830,2024/01/18
015760,2024/01/18
086790,2024/01/18
096770,2024/01/18
003550,2024/01/18
000810,2024/01/18
033780,2024/01/18
034730,2024/01/18
017670,2024/01/18
009150,2024/01/18
329180,2024/01/18
034020,2024/01/18
010130,2024/01/18
316140,2024/01/18
024110,2024/01/18
352820,2024/01/18
259960,2024/01/18
047050,2024/01/18
030200,2024/01/18
022100,2024/01/18
003490,2024/01/18
090430,2024/01/18
009540,2024/01/18
010950,2024/01/18
066970,2024/01/18
012450,2024/01/18
377300,2024/01/18
326030,2024/01/18
042660,2024/01/18
402340,2024/01/18
010140,2024/01/18
086280,2024/01/18
028300,2024/01/18
161390,2024/01/18
009830,2024/01/18
454910,2024/01/18
042700,2024/01/18
088980,2024/01/18
001570,2024/01/18
047810,2024/01/18
361610,2024/01/18
267250,2024/01/18
011170,2024/01/18
051900,2024/01/18
180640,2024/01/18
251270,2024/01/18
302440,2024/01/18
307950,2024/01/18
011070,2024/01/18
034220,2024/01/18
028050,2024/01/18
000100,2024/01/18
005070,2024/01/18
241560,2024/01/18
196170,2024/01/18
097950,2024/01/18
032640,2024/01/18
004020,2024/01/18
036570,2024/01/18
021240,2024/01/18
128940,2024/01/18
005387,2024/01/18
006800,2024/01/18
068760,2024/01/18
271560,2024/01/18
000720,2024/01/18
403870,2024/01/18
029780,2024/01/18
272210,2024/01/18
267260,2024/01/18
011780,2024/01/18
277810,2024/01/18
018880,2024/01/18
005940,2024/01/18
016360,2024/01/18
035250,2024/01/18
008930,2024/01/18
071050,2024/01/18
058470,2024/01/18
011790,2024/01/18
035900,2024/01/18
010620,2024/01/18
064350,2024/01/18
000120,2024/01/18
417200,2024/01/18
003410,2024/01/18
079550,2024/01/18
052690,2024/01/18
001450,2024/01/18
004990,2024/01/18
006260,2024/01/18
005385,2024/01/18
112610,2024/01/18
039490,2024/01/18
081660,2024/01/18
014680,2024/01/18
004370,2024/01/18
357780,2024/01/18
007070,2024/01/18
008770,2024/01/18
214150,2024/01/18
002790,2024/01/18
348370,2024/01/18
036460,2024/01/18
051915,2024/01/18
088350,2024/01/18
005290,2024/01/18
263750,2024/01/18
030000,2024/01/18
012750,2024/01/18
293490,2024/01/18
039030,2024/01/18
010120,2024/01/18
028670,2024/01/18
023530,2024/01/18
328130,2024/01/18
145020,2024/01/18
010060,2024/01/18
041510,2024/01/18
139480,2024/01/18
009420,2024/01/18
111770,2024/01/18
002380,2024/01/18
112040,2024/01/18
007660,2024/01/18
000880,2024/01/18
095340,2024/01/18
006040,2024/01/18
026960,2024/01/18
065350,2024/01/18
000250,2024/01/18
298040,2024/01/18
047040,2024/01/18
393890,2024/01/18
240810,2024/01/18
086900,2024/01/18
017800,2024/01/18
007310,2024/01/18
020150,2024/01/18
004170,2024/01/18
298050,2024/01/18
248070,2024/01/18
036930,2024/01/18
073240,2024/01/18
000080,2024/01/18
011210,2024/01/18
051600,2024/01/18
003230,2024/01/18
005850,2024/01/18
000240,2024/01/18
141080,2024/01/18
042670,2024/01/18
006110,2024/01/18
192820,2024/01/18
298020,2024/01/18
002710,2024/01/18
018670,2024/01/18
035760,2024/01/18
253450,2024/01/18
185750,2024/01/18
336260,2024/01/18
145720,2024/01/18
353200,2024/01/18
000150,2010/01/04
